name	clus_1	clus_2	clus_3	clus_4	memb	cluster	subregion
S_386479N1217101W001	0.0000016651	0.0000020538	0.9999948776	0.0000014034	3	3	sub6sub7
S_386479N1217101W002	0.9979586881	0.0000000069	0.0000000004	0.0020413046	1	1	sub6sub7
S_386484N1213715W001	0.0632981435	0.0039547482	0.8637073286	0.0690397797	3	3	sub6sub7
S_386527N1216673W001	0.9999999894	0.0000000001	0.0000000000	0.0000000105	1	1	sub6sub7
S_386548N1216750W001	0.9999918385	0.0000000254	0.0000000002	0.0000081359	1	1	sub6sub7
S_386583N1216680W001	0.9999999897	0.0000000011	0.0000000000	0.0000000092	1	1	sub6sub7
S_386629N1216395W001	0.6754405792	0.0003114721	0.0000015988	0.3242463499	1	1	sub6sub7
S_386720N1217096W001	0.5146536528	0.3397655894	0.0000015451	0.1455792127	1	1	sub6sub7
S_386720N1217096W002	0.9999872412	0.0000000000	0.0000000000	0.0000127587	1	1	sub6sub7
S_386759N1216446W001	0.0437947436	0.0000773913	0.0000011285	0.9561267366	4	4	sub6sub7
S_386759N1216446W002	0.9217040371	0.0001830528	0.0000234974	0.0780894127	1	1	sub6sub7
S_386782N1215943W001	0.0000000713	0.0010961896	0.9989034688	0.0000002703	3	3	sub6sub7
S_386782N1215943W002	0.0000006725	0.9999910425	0.0000080508	0.0000002342	2	2	sub6sub7
S_386782N1215943W003	0.9238426423	0.0009188598	0.0000000823	0.0752384156	1	1	sub6sub7
S_386782N1215943W004	0.9975383933	0.0007065785	0.0000003281	0.0017547000	1	1	sub6sub7
S_386864N1215222W001	0.0000215779	0.9456909180	0.0542699617	0.0000175424	2	2	sub6sub7
S_386864N1215222W002	0.0709847959	0.0014513496	0.0000063561	0.9275574984	4	4	sub6sub7
S_386864N1215222W003	0.0032045951	0.0067235558	0.9877082193	0.0023636298	3	3	sub6sub7
S_387341N1214620W001	0.8998366755	0.0898932664	0.0000021491	0.0102679089	1	1	sub6sub7
S_387372N1215030W001	0.0000215759	0.0000000023	0.0000000359	0.9999783859	4	4	sub6sub7
S_387480N1214946W001	0.0000118876	0.0000001272	0.0000000008	0.9999879844	4	4	sub6sub7
S_387511N1213389W001	0.0001357415	0.9996496374	0.0000781244	0.0001364967	2	2	sub6sub7
S_387511N1215230W001	0.0002214589	0.0000897287	0.0000266758	0.9996621367	4	4	sub6sub7
S_387515N1212725W001	0.9987543004	0.0012249021	0.0000001118	0.0000206856	1	1	sub6sub7
S_387515N1212725W002	0.9999693175	0.0000285375	0.0000001504	0.0000019946	1	1	sub6sub7
S_387515N1212725W003	0.9999925868	0.0000052641	0.0000000018	0.0000021473	1	1	sub6sub7
S_387605N1215946W001	0.0298376503	0.9583789448	0.0003269312	0.0114564737	2	2	sub6sub7
S_387623N1213915W001	0.0000009300	0.9999985340	0.0000001621	0.0000003738	2	2	sub6sub7
S_387623N1213915W002	0.0000031251	0.9999967304	0.0000000012	0.0000001433	2	2	sub6sub7
S_387623N1213915W003	0.0000022525	0.9999976901	0.0000000009	0.0000000565	2	2	sub6sub7
S_387626N1213651W002	0.0000000978	0.9999998921	0.0000000002	0.0000000099	2	2	sub6sub7
S_387755N1212753W001	0.0026916081	0.0043467430	0.9846819152	0.0082797337	3	3	sub6sub7
S_387755N1212753W002	0.0054467784	0.2447798067	0.7467816732	0.0029917417	3	3	sub6sub7
S_387786N1213737W001	0.0000025965	0.0029422063	0.9970435541	0.0000116430	3	3	sub6sub7
S_387786N1213737W002	0.0000000115	0.9999999863	0.0000000004	0.0000000018	2	2	sub6sub7
S_387786N1213737W003	0.0000000078	0.9999999910	0.0000000001	0.0000000010	2	2	sub6sub7
S_387864N1215774W001	0.0007583230	0.0004734886	0.0000127100	0.9987554785	4	4	sub6sub7
S_387910N1215973W001	0.0002727174	0.0000001837	0.0000014203	0.9997256787	4	4	sub6sub7
S_387951N1215993W001	0.0000014661	0.0000000000	0.0000000001	0.9999985338	4	4	sub6sub7
S_387957N1213813W001	0.0000003589	0.9998739639	0.0001255880	0.0000000892	2	2	sub6sub7
S_387957N1213813W002	0.0000000022	0.9999999969	0.0000000006	0.0000000003	2	2	sub6sub7
S_387957N1213813W003	0.0000000004	0.9999999994	0.0000000001	0.0000000000	2	2	sub6sub7
S_387971N1215119W001	0.0000000002	0.0000771787	0.0000000000	0.9999228211	4	4	sub6sub7
S_387971N1216119W001	0.0001495486	0.0000000003	0.0000000003	0.9998504508	4	4	sub6sub7
S_387977N1214521W001	0.0001131583	0.0072125108	0.0000075023	0.9926668286	4	4	sub6sub7
S_387982N1214704W001	0.0000133791	0.0067700145	0.9925846290	0.0006319774	3	3	sub6sub7
S_388052N1215938W001	0.0000005811	0.0000000000	0.0000000000	0.9999994188	4	4	sub6sub7
S_388066N1216021W001	0.1922925007	0.0001404862	0.0003162413	0.8072507718	4	4	sub6sub7
S_388069N1214338W001	0.0975096305	0.0045106609	0.0001298601	0.8978498484	4	4	sub6sub7
S_388087N1215189W001	0.0001129763	0.0000004805	0.0000000004	0.9998865428	4	4	sub6sub7
S_388145N1213491W002	0.0000633828	0.1032189376	0.8965559596	0.0001617199	3	3	sub6sub7
S_388235N1216079W001	0.0000064079	0.0000015258	0.0000000222	0.9999920442	4	4	sub6sub7
S_388235N1216079W002	0.0002052221	0.0001463685	0.0000000330	0.9996483764	4	4	sub6sub7
S_388235N1216079W003	0.0000002419	0.9996267200	0.0003729545	0.0000000836	2	2	sub6sub7
S_388235N1216079W004	0.0000000455	0.9999943833	0.0000055496	0.0000000216	2	2	sub6sub7
S_388260N1215394W001	0.0000000287	0.9999993352	0.0000000002	0.0000006360	2	2	sub6sub7
S_388260N1215394W002	0.0000017851	0.0000001708	0.0000000000	0.9999980441	4	4	sub6sub7
S_388260N1215394W003	0.0003874526	0.0001083063	0.0000000434	0.9995041977	4	4	sub6sub7
S_388361N1215959W001	0.0058367712	0.0000624605	0.0000013175	0.9940994508	4	4	sub6sub7
S_388406N1215627W001	0.0000008127	0.0000000009	0.0000000001	0.9999991863	4	4	sub6sub7
S_388476N1212872W001	0.0002273757	0.9932475247	0.0064540391	0.0000710605	2	2	sub6sub7
S_388476N1212872W002	0.0003142570	0.9947550087	0.0047699113	0.0001608229	2	2	sub6sub7
S_388593N1214885W001	0.0005379814	0.0026625955	0.0000003947	0.9967990284	4	4	sub6sub7
S_388593N1214885W002	0.0004077217	0.0018032071	0.0000002104	0.9977888608	4	4	sub6sub7
S_388593N1214885W003	0.0000175212	0.0265687896	0.0000027060	0.9734109832	4	4	sub6sub7
S_388604N1213544W001	0.9833545739	0.0022102933	0.0001973597	0.0142377731	1	1	sub6sub7
S_388604N1213544W002	0.9697394564	0.0091897696	0.0000139360	0.0210568379	1	1	sub6sub7
S_388604N1213544W003	0.9747642482	0.0069599271	0.0000115926	0.0182642320	1	1	sub6sub7
S_388604N1213544W004	0.9364384958	0.0556232610	0.0001805585	0.0077576848	1	1	sub6sub7
S_388803N1215814W001	0.5585863251	0.0002876402	0.0000375468	0.4410884879	1	1	sub6sub7
S_388826N1213078W001	0.0523400051	0.9406758743	0.0045912960	0.0023928247	2	2	sub6sub7
S_388826N1213078W002	0.0004360634	0.0252017286	0.9743098295	0.0000523785	3	3	sub6sub7
S_388944N1215257W001	0.0000113761	0.9999435592	0.0000050514	0.0000400132	2	2	sub6sub7
S_388971N1213301W001	0.0016929666	0.8831819327	0.1150319691	0.0000931316	2	2	sub6sub7
S_388971N1213301W002	0.0000387991	0.0006231846	0.9993273070	0.0000107092	3	3	sub6sub7
S_389075N1215237W001	0.0000151243	0.9999786114	0.0000001742	0.0000060901	2	2	sub6sub7
S_389116N1215238W001	0.0015134840	0.3069013793	0.0000062567	0.6915788800	4	4	sub6sub7
S_389116N1215238W002	0.0002625354	0.0021919684	0.0000000755	0.9975454206	4	4	sub6sub7
S_389116N1215238W003	0.0002061582	0.7901642073	0.0000060631	0.2096235714	2	2	sub6sub7
S_389117N1215238W001	0.0000536860	0.0001722516	0.0000000284	0.9997740341	4	4	sub6sub7
S_389128N1214522W001	0.0007754372	0.0013004256	0.0000223373	0.9979017998	4	4	sub6sub7
S_389130N1215441W001	0.0000000398	0.9923445680	0.0000001078	0.0076552844	2	2	sub6sub7
S_389255N1213566W001	0.5836639278	0.4003263185	0.0030856121	0.0129241416	1	1	sub6sub7
S_389255N1213566W002	0.2295738327	0.7328301321	0.0013061232	0.0362899121	2	2	sub6sub7
S_389255N1213566W003	0.0333426154	0.9561604140	0.0075448389	0.0029521317	2	2	sub6sub7
S_389255N1214969W001	0.0000010713	0.6950439444	0.0000084824	0.3049465019	2	2	sub6sub7
S_389256N1215062W001	0.0000006690	0.0851677988	0.0000305319	0.9148010002	4	4	sub6sub7
S_389322N1215277W001	0.0006514755	0.9755247249	0.0000452010	0.0237785986	2	2	sub6sub7
S_389327N1214594W001	0.0000123982	0.9807646466	0.0180529172	0.0011700380	2	2	sub6sub7
S_389328N1215489W001	0.0022534341	0.0111932566	0.0008495061	0.9857038031	4	4	sub6sub7
S_389539N1215186W001	0.0000000867	0.0000000158	0.0000000000	0.9999998975	4	4	sub6sub7
S_389683N1215213W001	0.0000002277	0.9999941008	0.0000000007	0.0000056708	2	2	sub6sub7
S_389692N1215408W001	0.0892698872	0.8892555215	0.0002000645	0.0212745268	2	2	sub6sub7
S_389807N1214267W001	0.0000000054	0.9999998108	0.0000000609	0.0000001229	2	2	sub6sub7
S_389807N1214576W001	0.0000042597	0.0003176028	0.0000000008	0.9996781367	4	4	sub6sub7
S_389834N1214655W001	0.0000903125	0.9815679436	0.0001627556	0.0181789884	2	2	sub6sub7
