name	clus_1	clus_2	clus_3	clus_4	clus_5	memb	cluster	subregion
S_390174N1214630W003	0.2418228295	0.0000019051	0.7579871891	0.0001424165	0.0000456598	3	3	sub5
S_390201N1214765W001	0.9934073165	0.0000005361	0.0064649911	0.0001230516	0.0000041047	1	1	sub5
S_390216N1215561W001	0.0000160298	0.0000822449	0.9980651119	0.0017323948	0.0001042186	3	3	sub5
S_390265N1215784W001	0.9545200933	0.0003107896	0.0356029497	0.0094931457	0.0000730216	1	1	sub5
S_390458N1216114W002	0.0003010306	0.0052842803	0.9378924088	0.0063946488	0.0501276316	3	3	sub5
S_390458N1216114W003	0.5082953646	0.0000094490	0.3820734419	0.1095533944	0.0000683500	1	1	sub5
S_390458N1216114W004	0.6574234045	0.0000086658	0.2400113969	0.1025012256	0.0000553072	1	1	sub5
S_390679N1215161W001	0.9984160819	0.0000317765	0.0003070230	0.0012419007	0.0000032179	1	1	sub5
S_390682N1216901W001	0.1790080076	0.0751530064	0.0222948485	0.0295825928	0.6939615446	5	5	sub5
S_390682N1216901W002	0.1811467078	0.0078185522	0.0046351181	0.0192635541	0.7871360679	5	5	sub5
S_390682N1216901W003	0.5184811023	0.0068088188	0.0068361485	0.0222971243	0.4455768060	1	1	sub5
S_390752N1213738W001	0.0112639897	0.0003059337	0.0048993707	0.9832528401	0.0002778658	4	4	sub5
S_391124N1217226W001	0.0015369639	0.9902250658	0.0003061599	0.0005725439	0.0073592665	2	2	sub5
S_391275N1216569W001	0.6392166024	0.0000008965	0.0008968755	0.3598849243	0.0000007013	1	1	sub5
S_391279N1216989W001	0.8404984808	0.0036881233	0.0011784673	0.1409284101	0.0137065186	1	1	sub5
S_391279N1216989W002	0.1029060812	0.0037624409	0.0015581389	0.8894806881	0.0022926509	4	4	sub5
S_391279N1216989W003	0.0155822247	0.0034924289	0.0013032716	0.9783977073	0.0012243675	4	4	sub5
S_391282N1214436W001	0.7400907854	0.0221406463	0.0498437607	0.1814674046	0.0064574030	1	1	sub5
S_391406N1216961W001	0.0161604680	0.3563874917	0.0212409306	0.5893505200	0.0168605897	4	4	sub5
S_391512N1216190W001	0.9987278752	0.0000151026	0.0000174918	0.0012374640	0.0000020664	1	1	sub5
S_391578N1214696W001	0.0016184970	0.0004431132	0.9972003416	0.0007210297	0.0000170185	3	3	sub5
S_391658N1217070W001	0.1514548422	0.7288313830	0.0363696948	0.0362896486	0.0470544315	2	2	sub5
S_391658N1217070W002	0.0002544453	0.0000245932	0.0018289463	0.0000763153	0.9978156998	5	5	sub5
S_391658N1217070W003	0.0001847730	0.0000146211	0.0012063624	0.0000626123	0.9985316311	5	5	sub5
S_391710N1217359W001	0.0000140685	0.0000394343	0.0009595099	0.0001575905	0.9988293969	5	5	sub5
S_391759N1215241W002	0.0000000022	0.0000000345	0.0000530601	0.0000000761	0.9999468271	5	5	sub5
S_391759N1215241W003	0.0000000007	0.0000000075	0.0000161968	0.0000000192	0.9999837758	5	5	sub5
S_391759N1215241W004	0.0000000572	0.0000001328	0.0016150173	0.0000005936	0.9983841991	5	5	sub5
S_391975N1218937W001	0.0017741021	0.0000114359	0.0015270405	0.9966664271	0.0000209944	4	4	sub5
S_392038N1217147W001	0.0001301137	0.0000462167	0.9876766908	0.0121320404	0.0000149384	3	3	sub5
S_392127N1215185W001	0.0000000123	0.0000000831	0.0000001543	0.0000000288	0.9999997216	5	5	sub5
S_392145N1214873W001	0.0000054539	0.0000033469	0.0000022799	0.0000005251	0.9999883943	5	5	sub5
S_392146N1215404W001	0.0000057246	0.0000253329	0.0000024051	0.0000302888	0.9999362486	5	5	sub5
S_392147N1215434W001	0.0168719018	0.0679282994	0.0396104077	0.0389943703	0.8365950208	5	5	sub5
S_392349N1215809W001	0.0018909522	0.0000104013	0.0033273241	0.9944612193	0.0003101030	4	4	sub5
S_392361N1215824W001	0.0003883563	0.0001279571	0.8425743463	0.1549450642	0.0019642761	3	3	sub5
S_392364N1215831W001	0.0001198683	0.0000311619	0.9850169313	0.0145418629	0.0002901756	3	3	sub5
S_392394N1216509W001	0.0064778857	0.0301536918	0.0739441300	0.0203685918	0.8690557006	5	5	sub5
S_392394N1216509W002	0.0000737959	0.0000003794	0.9997677682	0.0001420635	0.0000159931	3	3	sub5
S_392394N1216509W003	0.0001958873	0.0000004012	0.9995329593	0.0002298298	0.0000409225	3	3	sub5
S_392394N1216509W004	0.0022299921	0.0000009876	0.9965799074	0.0010281999	0.0001609130	3	3	sub5
S_392394N1216509W005	0.0039322808	0.0000013097	0.9941933279	0.0016224484	0.0002506332	3	3	sub5
S_392396N1215815W001	0.0000245576	0.0000000256	0.0000089544	0.9999652022	0.0000012603	4	4	sub5
S_392406N1214951W001	0.9869286602	0.0088220638	0.0001052285	0.0001512057	0.0039928417	1	1	sub5
S_392406N1214951W002	0.9907570133	0.0030877258	0.0000732098	0.0001048050	0.0059772461	1	1	sub5
S_392406N1214951W003	0.7773443010	0.0019451795	0.0001109272	0.0001087148	0.2204908774	1	1	sub5
S_392410N1216105W001	0.0000334922	0.0000912094	0.9990419680	0.0007375306	0.0000957998	3	3	sub5
S_392424N1215030W001	0.0131883271	0.0007551477	0.0001998745	0.0000645380	0.9857921127	5	5	sub5
S_392430N1214980W001	0.0086154318	0.8776460494	0.0017154313	0.0099599903	0.1020630971	2	2	sub5
S_392434N1215603W001	0.0113978331	0.0035246689	0.0005702790	0.9843626605	0.0001445585	4	4	sub5
S_392436N1214875W001	0.0018583723	0.9413337817	0.0001885477	0.0017380739	0.0548812245	2	2	sub5
S_392438N1214923W001	0.0149995133	0.9514572405	0.0014779405	0.0027542659	0.0293110398	2	2	sub5
S_392441N1215758W001	0.0026202264	0.0297165164	0.0190616095	0.1046502436	0.8439514040	5	5	sub5
S_392452N1214999W001	0.0007422273	0.2397424581	0.0000027583	0.0001407338	0.7593718225	5	5	sub5
S_392489N1215689W001	0.0000117532	0.0000041609	0.0000312447	0.0007200869	0.9992327543	5	5	sub5
S_392490N1215601W001	0.0000195915	0.0001319323	0.0000056635	0.0001220943	0.9997207184	5	5	sub5
S_392490N1215658W001	0.0000003055	0.0000013636	0.0000011997	0.0000150830	0.9999820483	5	5	sub5
S_392553N1215021W001	0.0000000027	0.0000000124	0.0000000056	0.0000000101	0.9999999692	5	5	sub5
S_392583N1215391W001	0.0000002708	0.0000023118	0.0000001617	0.0000008064	0.9999964492	5	5	sub5
S_392603N1216860W001	0.0000039640	0.0000066004	0.9998325064	0.0001561095	0.0000008197	3	3	sub5
S_392634N1217141W001	0.1012462310	0.3386286618	0.1472706357	0.1112964798	0.3015579918	2	2	sub5
S_392643N1215408W001	0.2164097174	0.0005539597	0.1247568594	0.0023315507	0.6559479128	5	5	sub5
S_392646N1215834W001	0.0000202079	0.0000005064	0.9832898795	0.0166822762	0.0000071301	3	3	sub5
S_392727N1215762W001	0.9999987982	0.0000000007	0.0000006723	0.0000005278	0.0000000010	1	1	sub5
S_392727N1215762W002	0.0056878556	0.0000101599	0.4220105903	0.0006959323	0.5715954619	5	5	sub5
S_392740N1215960W001	0.0009244633	0.0009556456	0.9521111906	0.0445877463	0.0014209542	3	3	sub5
S_392790N1216451W001	0.0022704741	0.0000524580	0.0372533303	0.9603277116	0.0000960261	4	4	sub5
S_392804N1215955W001	0.0000063154	0.0000117826	0.9999504495	0.0000215254	0.0000099270	3	3	sub5
S_392867N1217825W001	0.0000041859	0.0000001386	0.9957540277	0.0042414114	0.0000002364	3	3	sub5
S_392929N1216859W001	0.0000189656	0.0000007340	0.0007240491	0.9992555309	0.0000007204	4	4	sub5
S_392947N1218022W001	0.0005264458	0.0000009020	0.0061755513	0.9932947639	0.0000023370	4	4	sub5
S_392970N1216907W001	0.0152478926	0.0002485354	0.9708113308	0.0111140845	0.0025781568	3	3	sub5
S_392970N1216907W002	0.0039523222	0.0004630287	0.9844358715	0.0083327745	0.0028160031	3	3	sub5
S_392970N1216907W003	0.0013654366	0.0032030648	0.0016535805	0.9935469056	0.0002310125	4	4	sub5
S_393054N1215973W001	0.9995237006	0.0000003835	0.0000327912	0.0004426867	0.0000004380	1	1	sub5
S_393054N1215973W002	0.0000000153	0.0000000013	0.9999998919	0.0000000322	0.0000000592	3	3	sub5
S_393054N1215973W003	0.0000000004	0.0000000000	0.9999999960	0.0000000013	0.0000000023	3	3	sub5
S_393169N1218004W002	0.9074272221	0.0234283628	0.0001553508	0.0688944506	0.0000946137	1	1	sub5
S_393169N1218004W003	0.0004729109	0.0005177079	0.0004148095	0.9954733693	0.0031212024	4	4	sub5
S_393169N1218004W004	0.0006574680	0.0008071737	0.0004710593	0.9943216266	0.0037426723	4	4	sub5
S_393169N1218004W005	0.0001138083	0.0006026005	0.9974260842	0.0017644506	0.0000930564	3	3	sub5
S_393190N1215089W001	0.0067509797	0.0029526678	0.1472826019	0.0344468019	0.8085669487	5	5	sub5
S_393257N1218830W001	0.0000220418	0.0000068245	0.0003515834	0.9996193741	0.0000001761	4	4	sub5
S_393257N1218830W002	0.0000150297	0.0000053339	0.0000180486	0.9999615082	0.0000000796	4	4	sub5
S_393257N1218830W003	0.0000257716	0.0000064822	0.0000086662	0.9999590061	0.0000000740	4	4	sub5
S_393269N1217096W001	0.0017500283	0.0056884890	0.0733839557	0.9186411765	0.0005363505	4	4	sub5
S_393457N1218375W001	0.0024818633	0.9782340591	0.0006464725	0.0150566404	0.0035809647	2	2	sub5
S_394141N1217561W001	0.0000112105	0.9999630031	0.0000016775	0.0000042134	0.0000198954	2	2	sub5
S_394283N1215586W001	0.0158885221	0.0221089309	0.0166391204	0.9401851428	0.0051782838	4	4	sub5
S_394634N1218278W001	0.0008581139	0.9990606805	0.0000076487	0.0000730005	0.0000005564	2	2	sub5
S_394634N1218278W002	0.0000107198	0.9999869775	0.0000005283	0.0000016610	0.0000001135	2	2	sub5
S_394635N1218276W001	0.0000014002	0.9999979208	0.0000001244	0.0000003905	0.0000001641	2	2	sub5
S_394944N1216932W001	0.0063470677	0.9721006851	0.0132689651	0.0057844941	0.0024987881	2	2	sub5
S_394944N1216932W002	0.0087619478	0.9643962449	0.0186475404	0.0059747221	0.0022195449	2	2	sub5
S_395050N1217665W001	0.0000416960	0.9998535665	0.0000077900	0.0000535262	0.0000434214	2	2	sub5
S_395118N1217880W001	0.0010986559	0.9985616592	0.0000559054	0.0002794498	0.0000043296	2	2	sub5
S_395118N1217880W002	0.0000020111	0.9999965132	0.0000001392	0.0000010259	0.0000003106	2	2	sub5
S_395118N1217880W003	0.0000294804	0.9999306544	0.0000043249	0.0000196639	0.0000158763	2	2	sub5
S_395240N1216653W001	0.0000736140	0.0000171878	0.9962644076	0.0023853774	0.0012594133	3	3	sub5
S_395539N1217622W001	0.0040905224	0.0142396503	0.8976983312	0.0604860144	0.0234854817	3	3	sub5
S_395771N1219082W001	0.2802761463	0.0011503633	0.1914215746	0.5270474252	0.0001044906	4	4	sub5
S_395771N1219083W001	0.0000329569	0.0000083625	0.0003972789	0.9995613652	0.0000000364	4	4	sub5
S_395812N1217026W001	0.0004507984	0.0000006186	0.9734982505	0.0260499810	0.0000003516	3	3	sub5
S_395812N1217026W002	0.0003040141	0.0000005764	0.9829636850	0.0167313860	0.0000003386	3	3	sub5
S_395812N1217026W003	0.0003940295	0.0000004794	0.9780104793	0.0215947180	0.0000002939	3	3	sub5
S_395891N1217303W001	0.0000006513	0.0000000094	0.9996284183	0.0003709005	0.0000000205	3	3	sub5
S_396127N1217883W001	0.0002517851	0.0000004877	0.9820041941	0.0177420224	0.0000015107	3	3	sub5
S_396468N1217263W001	0.0001055089	0.0000007437	0.9918638904	0.0080231560	0.0000067010	3	3	sub5
S_396468N1217263W002	0.0001772457	0.0000068844	0.9890816472	0.0105436909	0.0001905319	3	3	sub5
S_396468N1217263W003	0.0001857857	0.0000055356	0.9895609318	0.0101994799	0.0000482671	3	3	sub5
S_396468N1217263W004	0.4342595002	0.0008916873	0.0198731501	0.5446313147	0.0003443477	4	4	sub5
S_396511N1218607W001	0.0005784008	0.0000000573	0.0084927824	0.9909285060	0.0000002535	4	4	sub5
S_396735N1218144W001	0.0000001278	0.0000000013	0.9999916403	0.0000045237	0.0000037069	3	3	sub5
S_396735N1218144W002	0.0000007924	0.0000000054	0.9999707554	0.0000086244	0.0000198224	3	3	sub5
S_396735N1218144W003	0.0000001679	0.0000000015	0.9999865302	0.0000074596	0.0000058408	3	3	sub5
S_396820N1217970W001	0.0000001689	0.0000000006	0.9999645218	0.0000352737	0.0000000350	3	3	sub5
S_396820N1217970W002	0.0000003375	0.0000000011	0.9999502087	0.0000494108	0.0000000420	3	3	sub5
S_396892N1218121W001	0.0036093681	0.0000126424	0.2374461211	0.7589125194	0.0000193491	4	4	sub5
