name	clus_1	clus_2	clus_3	clus_4	clus_5	clus_6	clus_7	clus_8	clus_9	clus_10	memb	cluster	subregion
S_385947N1213985W004	0	0.0005	0	0	0	0.9899	0.0001	0	0.0001	0.0093	6	6	sub7
S_386008N1215488W001	0.002	0.0005	0.0008	0.0531	0.0005	0.0068	0.0043	0.6754	0.0169	0.2397	8	8	sub7
S_386041N1216747W001	0.0002	0.0001	0.0054	0.0003	0	0.9941	0	0	0	0	6	6	sub6
S_386041N1216747W002	0.0002	0	0	0	0	0.9998	0	0	0	0	6	6	sub6
S_386062N1215602W001	0.0001	0.0009	0.0002	0.9967	0	0.0004	0.0002	0.0007	0.0001	0.0007	4	4	sub6
S_386062N1215602W002	0.0001	0.002	0.0003	0.995	0	0.0008	0.0002	0.0008	0.0002	0.0007	4	4	sub6
S_386310N1213864W001	0.0039	0.0006	0.0003	0.0002	0	0.9882	0.0004	0.0001	0.0051	0.0012	6	6	sub7
S_386330N1217103W001	0.004	0	0	0	0	0.9952	0	0	0.0008	0	6	6	sub6
S_386401N1216605W001	0	0	0	0	0	1	0	0	0	0	6	6	sub6
S_386410N1213995W001	0.863	0.0032	0.0086	0.0066	0.03	0.0313	0.0297	0.001	0.0249	0.0018	1	1	sub7
S_386464N1216675W001	0.0017	0.0048	0.0715	0.6481	0.0001	0.0044	0.0007	0.264	0.0029	0.0018	4	4	sub6
S_386464N1216675W002	0.1242	0.0014	0.0568	0.234	0	0.5253	0	0.0036	0.0528	0.0019	6	6	sub6
S_386464N1216675W003	0.0313	0	0	0	0	0.9533	0	0	0.0153	0	6	6	sub6
S_386464N1216675W004	0.0159	0	0.0001	0	0	0.981	0	0	0.003	0	6	6	sub6
S_386466N1216729W001	0.0001	0	0	0	0	0.998	0	0	0	0.0019	6	6	sub6
S_386470N1216654W001	0.006	0	0	0	0	0.9932	0	0	0.0007	0	6	6	sub6
S_386472N1216814W001	0	0	0	0	0	1	0	0	0	0	6	6	sub6
S_386477N1216907W001	0	0	0	0	0	1	0	0	0	0	6	6	sub6
S_386479N1217101W001	0.0016	0.0098	0.0029	0.0131	0.709	0.006	0.156	0.0407	0.003	0.058	5	5	sub6
S_386479N1217101W002	0.0005	0	0	0	0	0.9722	0	0	0.0273	0	6	6	sub6
S_386484N1213715W001	0.0015	0.0002	0.0002	0.0009	0.0012	0.0021	0.9794	0.0017	0.01	0.0026	7	7	sub7
S_386527N1216673W001	0	0	0	0	0	1	0	0	0	0	6	6	sub6
S_386547N1215320W001	0.0009	0.0002	0.0099	0.9888	0	0.0002	0	0	0	0	4	4	sub7
S_386548N1216750W001	0.005	0	0	0	0	0.9947	0	0	0.0002	0	6	6	sub6
S_386583N1216680W001	0	0	0	0	0	1	0	0	0	0	6	6	sub6
S_386629N1216395W001	0.0331	0.0001	0.0001	0	0	0.9631	0	0	0.0036	0	6	6	sub6
S_386720N1217096W001	0.0007	0.0148	0.9408	0.0126	0	0.0305	0	0.0001	0.0005	0	3	3	sub6
S_386720N1217096W002	0.0001	0	0	0	0	0.9998	0	0	0.0001	0	6	6	sub6
S_386759N1216446W001	0.0002	0	0.0001	0	0	0.9948	0	0	0.0048	0	6	6	sub6
S_386759N1216446W002	0.0027	0	0	0	0	0.9967	0	0	0.0005	0	6	6	sub6
S_386782N1215943W001	0	0.017	0.0005	0	0.9746	0	0.0079	0	0	0	5	5	sub7
S_386782N1215943W002	0	0.977	0.0228	0.0002	0	0	0	0	0	0	2	2	sub7
S_386782N1215943W003	0.0125	0	0.0015	0.0035	0	0.9737	0	0	0.0088	0	6	6	sub7
S_386782N1215943W004	0.1344	0	0.006	0.0038	0	0.8555	0	0	0.0003	0	6	6	sub7
S_386864N1215222W001	0.0002	0.4133	0.2893	0.0007	0.2866	0.0002	0.0082	0.0012	0.0002	0.0002	2	2	sub7
S_386864N1215222W002	0.0071	0.0012	0.0007	0.011	0	0.2302	0	0.0005	0.7493	0.0001	9	9	sub7
S_386864N1215222W003	0.0015	0.0196	0.0026	0.0495	0.0212	0.0039	0.8694	0.0048	0.003	0.0245	7	7	sub7
S_387196N1216083W001	0.0128	0.0035	0.1721	0.2765	0.0688	0.0023	0.0003	0.2359	0.2277	0.0001	4	4	sub6
S_387341N1214620W001	0.9922	0	0.0032	0	0	0.0041	0	0	0.0006	0	1	1	sub7
S_387372N1215030W001	0	0	0	0	0	0.0002	0	0	0.9998	0	9	9	sub7
S_387480N1214946W001	0.0002	0	0	0	0	0.0001	0	0	0.9996	0	9	9	sub7
S_387511N1213389W001	0.0003	0.9841	0.015	0.0002	0	0.0002	0	0	0.0001	0	2	2	sub7
S_387511N1215230W001	0.0007	0.0001	0.0011	0.0004	0.0002	0.0002	0	0.4952	0.5021	0	9	9	sub7
S_387515N1212725W001	0.0983	0.0031	0.0421	0.469	0	0.3869	0	0	0.0005	0	4	4	sub7
S_387515N1212725W002	0.2782	0.0008	0.0071	0.1884	0.0006	0.5244	0	0	0.0006	0.0001	6	6	sub7
S_387515N1212725W003	0.1424	0.0005	0.0058	0.0091	0	0.8399	0	0	0.0022	0	6	6	sub7
S_387552N1215951W001	0.034	0.0002	0.0022	0.942	0	0.0141	0.0001	0.0027	0.0034	0.0013	4	4	sub6
S_387605N1215946W001	0.8508	0.0002	0.0877	0.0575	0.0003	0.0004	0	0.0011	0.0021	0	1	1	sub6
S_387623N1213915W001	0	1	0	0	0	0	0	0	0	0	2	2	sub7
S_387623N1213915W002	0	0.9985	0.0014	0	0	0.0001	0	0	0	0	2	2	sub7
S_387623N1213915W003	0	0.9985	0.0014	0	0	0.0001	0	0	0	0	2	2	sub7
S_387626N1213651W002	0	0.9998	0.0002	0	0	0	0	0	0	0	2	2	sub7
S_387721N1216311W001	0.0011	0.0007	0.0018	0.9938	0.0001	0.0004	0.0009	0.0001	0	0.001	4	4	sub6
S_387755N1212753W001	0.0019	0.0037	0.0014	0.004	0.9518	0.0012	0.0216	0.0028	0.0052	0.0063	5	5	sub7
S_387755N1212753W002	0	0.998	0.0005	0.0006	0	0.0002	0.0002	0.0001	0	0.0003	2	2	sub7
S_387786N1213737W001	0.0001	0.9363	0.0009	0.0003	0.0591	0.0003	0.0017	0.0003	0.0006	0.0005	2	2	sub7
S_387786N1213737W002	0	0.9999	0.0001	0	0	0	0	0	0	0	2	2	sub7
S_387786N1213737W003	0	0.9999	0.0001	0	0	0	0	0	0	0	2	2	sub7
S_387793N1218123W001	0.9988	0	0.0003	0	0	0.0008	0	0	0.0001	0	1	1	sub3
S_387793N1218123W002	0.0571	0	0	0	0	0.006	0	0	0.9368	0	9	9	sub3
S_387793N1218123W003	0.1206	0	0	0	0	0.0025	0	0	0.8768	0	9	9	sub3
S_387793N1218123W004	0.0891	0	0.0001	0	0	0.0029	0	0	0.9078	0	9	9	sub3
S_387849N1217742W001	0.065	0.0046	0.0037	0.0001	0.011	0.0003	0	0	0.9154	0	9	9	sub3
S_387864N1215774W001	0	0.0001	0.0003	0.0002	0	0.0004	0	0.9853	0.0136	0	8	8	sub7
S_387910N1215973W001	0.0001	0	0	0	0	0.0039	0.0001	0.0001	0.9959	0	9	9	sub7
S_387951N1215993W001	0	0	0	0	0	0.0004	0	0	0.9996	0	9	9	sub7
S_387957N1213813W001	0.0001	0.9994	0.0002	0	0.0003	0	0	0	0	0	2	2	sub7
S_387957N1213813W002	0	0.9996	0.0004	0	0	0	0	0	0	0	2	2	sub7
S_387957N1213813W003	0	0.9999	0.0001	0	0	0	0	0	0	0	2	2	sub7
S_387971N1215119W001	0.0001	0.0222	0.0969	0	0	0	0	0.0001	0.8806	0	9	9	sub7
S_387971N1216119W001	0	0	0	0	0	0.0298	0	0	0.9702	0	9	9	sub7
S_387977N1214521W001	0.0233	0.0179	0.839	0.0001	0.0003	0.0004	0	0.001	0.1179	0.0001	3	3	sub7
S_387982N1214704W001	0.0009	0.6592	0.0051	0.0031	0.3045	0.0026	0.0099	0.0027	0.0107	0.0012	2	2	sub7
S_387985N1217275W001	0	0	0	0	0	0	0	0	1	0	9	9	sub4
S_387985N1217275W002	0	0	0	0	0	0	0	0	0	0	6	6	sub4
S_387985N1217275W003	0	0	0	0	0	0	0	0	0	0	6	6	sub4
S_388050N1216298W001	0.0008	0.003	0.0075	0.9822	0.0006	0.0003	0.002	0.003	0.0004	0.0001	4	4	sub7
S_388052N1215938W001	0	0	0	0	0	0.001	0	0	0.999	0	9	9	sub7
S_388066N1216021W001	0.0073	0.0001	0.0019	0.0047	0.0001	0.6496	0.0003	0.0011	0.335	0	6	6	sub7
S_388068N1217384W001	0.1082	0	0.0121	0.0002	0	0.002	0	0.1173	0.76	0.0001	9	9	sub4
S_388068N1217384W003	0	0	0	0	0	0	0	0	1	0	9	9	sub4
S_388069N1214338W001	0.5566	0.0001	0.0005	0	0.001	0.0037	0	0	0.438	0	1	1	sub7
S_388087N1215189W001	0.0001	0	0	0	0	0	0	0	0.9999	0	9	9	sub7
S_388145N1213491W002	0.0002	0.9928	0.0004	0.0001	0.0037	0.0001	0.0005	0.0008	0.0005	0.0007	2	2	sub7
S_388208N1215397W001	0.0078	0.004	0.0437	0.9213	0.0011	0.001	0.0001	0.0066	0.0142	0	4	4	sub7
S_388235N1216079W001	0	0.0001	0.001	0.0001	0	0.0036	0	0.3444	0.6507	0	9	9	sub7
S_388235N1216079W002	0.0001	0.0005	0.0095	0.0001	0	0.0123	0	0.0112	0.9663	0	9	9	sub7
S_388235N1216079W003	0	0.9997	0.0003	0	0	0	0	0	0	0	2	2	sub7
S_388235N1216079W004	0	0.9999	0.0001	0	0	0	0	0	0	0	2	2	sub7
S_388260N1215394W001	0.0009	0.7808	0.2178	0	0	0.0001	0	0	0.0004	0	2	2	sub7
S_388260N1215394W002	0.0003	0	0	0	0	0.0055	0	0	0.9942	0	9	9	sub7
S_388260N1215394W003	0.021	0.0007	0.0138	0.276	0	0.1767	0	0.0003	0.5117	0	9	9	sub7
S_388260N1215394W004	0.0001	0	0.0003	0.998	0	0.0008	0	0	0.0006	0	4	4	sub7
S_388361N1215959W001	0.0005	0	0.0003	0	0	0.0008	0	0.0782	0.9202	0	9	9	sub7
S_388361N1217778W002	0.0039	0.8114	0.0473	0.0131	0.0167	0.0006	0.0973	0.0012	0.0004	0.008	2	2	sub4
S_388362N1218352W001	0.0027	0	0	0	0	0.0003	0	0	0.997	0	9	9	sub4
S_388368N1217584W002	0	0	0	0	0	0.0002	0	0.0001	0.9997	0	9	9	sub4
S_388368N1217584W003	0	0	0	0	0	0.0011	0	0.028	0.9709	0	9	9	sub4
S_388375N1217343W001	0	0	0	0	0	0	0	0	1	0	9	9	sub4
S_388393N1217330W002	0	0	0	0	0	0	0	0	1	0	9	9	sub4
S_388393N1217330W003	0	0	0	0	0	0	0	0	1	0	9	9	sub4
S_388393N1217330W004	0	0	0	0	0	0	0	0.0006	0.9994	0	9	9	sub4
S_388406N1215627W001	0	0	0	0	0	0	0	0	1	0	9	9	sub7
S_388476N1212872W001	0	0.9999	0.0001	0.0001	0	0	0	0	0	0	2	2	sub7
S_388476N1212872W002	0	0.9998	0	0.0001	0	0	0	0	0	0	2	2	sub7
S_388555N1215468W001	0.0055	0.0709	0.0203	0.8543	0.0002	0.0031	0.0002	0.0003	0.0447	0.0005	4	4	sub7
S_388593N1214885W001	0.0007	0.0003	0.0006	0	0	0.0023	0	0	0.9961	0	9	9	sub7
S_388593N1214885W002	0.0005	0.0002	0.0005	0	0	0.0022	0	0	0.9966	0	9	9	sub7
S_388593N1214885W003	0.0006	0.2332	0.0081	0.0001	0.0001	0.0023	0	0.0015	0.7539	0.0002	9	9	sub7
S_388604N1213544W001	0.3812	0.013	0.0153	0.0107	0.0002	0.5212	0.0014	0.0012	0.0476	0.0084	6	6	sub7
S_388604N1213544W002	0.5085	0.0155	0.0071	0.0013	0	0.4083	0.0001	0.0002	0.0581	0.0009	1	1	sub7
S_388604N1213544W003	0.4958	0.0138	0.0074	0.0015	0	0.4283	0.0001	0.0002	0.0518	0.0011	1	1	sub7
S_388604N1213544W004	0.8991	0.0053	0.0183	0.0183	0.0003	0.0505	0.0001	0.0002	0.0029	0.005	1	1	sub7
S_388635N1218245W001	0.0002	0	0.9997	0	0	0.0001	0	0	0	0	3	3	sub4
S_388635N1218245W002	0.2773	0	0.0002	0	0	0.4264	0	0	0.296	0	6	6	sub4
S_388635N1218245W003	0.0011	0.0073	0.987	0.0036	0	0.0009	0	0	0	0	3	3	sub4
S_388666N1217749W001	0.0303	0.0027	0.0178	0.9284	0.0035	0.0122	0.0001	0.0002	0.0048	0	4	4	sub4
S_388691N1217143W001	0	0.0001	0.0001	0.0021	0	0	0.9974	0.0001	0	0.0001	7	7	sub4
S_388761N1217094W001	0	0.0002	0.0001	0.0027	0	0	0.9963	0.0004	0	0.0003	7	7	sub4
S_388761N1217094W002	0	0.0001	0	0.0007	0	0	0.999	0.0001	0	0	7	7	sub4
S_388761N1217094W003	0	0.0046	0.9952	0.0002	0	0	0	0	0	0	3	3	sub4
S_388761N1217094W004	0	0.1609	0.8319	0.0001	0.007	0	0	0	0	0	3	3	sub4
S_388803N1215814W001	0.0414	0.0002	0.0074	0.0072	0.0001	0.9275	0	0	0.0161	0.0001	6	6	sub7
S_388813N1217525W001	0	0	0	1	0	0	0	0	0	0	4	4	sub4
S_388813N1217525W002	0.0032	0.0001	0.0264	0.0013	0	0.0039	0	0.0083	0.9569	0	9	9	sub4
S_388813N1217525W003	0.0029	0.0002	0.8017	0	0	0.0153	0	0	0.18	0	3	3	sub4
S_388813N1218219W001	0.0002	0	0.9998	0	0	0	0	0	0	0	3	3	sub4
S_388813N1218219W002	0.0054	0.0001	0.9524	0.0171	0.0004	0.0002	0	0.021	0.0034	0	3	3	sub4
S_388813N1218219W003	0.7766	0	0.0055	0	0	0.1923	0	0	0.0255	0	1	1	sub4
S_388826N1213078W001	0.0001	0.0022	0.0056	0.9919	0	0.0001	0	0	0	0.0001	4	4	sub7
S_388826N1213078W002	0.0213	0.2131	0.2688	0.0251	0.455	0.0013	0.0132	0.0004	0.0007	0.0012	5	5	sub7
S_388837N1218762W001	0.6106	0.0002	0.3876	0	0	0.0013	0	0	0.0003	0	1	1	sub4
S_388837N1218762W002	0.2267	0	0	0	0	0.0034	0	0	0.7699	0	9	9	sub4
S_388847N1219665W001	0.0002	0	0	0	0.9997	0	0	0	0.0001	0	5	5	sub3
S_388847N1219665W002	0.0553	0	0	0	0	0	0	0	0.9447	0	9	9	sub3
S_388847N1219665W003	0	0	1	0	0	0	0	0	0	0	3	3	sub3
S_388944N1215257W001	0.0003	0.9874	0.0098	0.0022	0	0.0002	0	0	0	0	2	2	sub7
S_388957N1218611W001	0.0047	0.0005	0.7714	0.0002	0	0.0006	0	0.0015	0.2211	0	3	3	sub4
S_388957N1218611W002	0.9903	0	0.0014	0	0	0.0005	0	0	0.0079	0	1	1	sub4
S_388965N1219139W001	0	0.0001	0.9999	0	0	0	0	0	0	0	3	3	sub4
S_388965N1219139W002	0.0007	0	0	0	0	0.0003	0	0	0.9991	0	9	9	sub4
S_388965N1219139W003	0.0123	0	0	0	0	0.0013	0	0	0.9865	0	9	9	sub4
S_388971N1213301W001	0.0623	0.0612	0.0889	0.0001	0.7868	0.0003	0.0001	0	0.0003	0.0001	5	5	sub7
S_388971N1213301W002	0.0001	0.0001	0.0001	0	0.9996	0	0.0001	0	0	0	5	5	sub7
S_389075N1215237W001	0	0.9987	0.0012	0.0001	0	0	0	0	0	0	2	2	sub7
S_389116N1215238W001	0.0003	0.8705	0.0012	0.0001	0	0.0102	0	0.0001	0.1169	0.0007	2	2	sub7
S_389116N1215238W002	0.0001	0.0005	0.0001	0	0	0.002	0	0	0.9974	0	9	9	sub7
S_389116N1215238W003	0.0001	0.9931	0.0007	0.0001	0	0.0004	0	0	0.0056	0.0001	2	2	sub7
S_389117N1215238W001	0.0001	0.0005	0	0	0	0.0012	0	0	0.9981	0	9	9	sub7
S_389128N1214522W001	0.0369	0.0008	0.0003	0	0.0011	0.0002	0	0	0.9606	0	9	9	sub7
S_389130N1215441W001	0.0031	0.279	0.6988	0.0142	0	0	0	0	0.0048	0	3	3	sub7
S_389133N1218431W001	0	0.0003	0.9997	0	0	0	0	0	0	0	3	3	sub4
S_389133N1218431W002	0	0	0.9999	0	0	0	0	0	0	0	3	3	sub4
S_389133N1218431W003	0	0	0	0	0	0	0	0	0.9999	0	9	9	sub4
S_389163N1219875W001	0	0	0	0	1	0	0	0	0	0	5	5	sub3
S_389163N1219875W002	0.0005	0	0	0	0	0	0	0	0.9995	0	9	9	sub3
S_389163N1219875W003	0	0	0	0	0	0	0	0	1	0	9	9	sub3
S_389239N1219963W001	0	0	0	0	1	0	0	0	0	0	5	5	sub3
S_389249N1219140W001	0	0.0004	0.9996	0	0	0	0	0	0	0	3	3	sub4
S_389249N1219140W002	0.0064	0	0	0	0	0.0001	0	0	0.9935	0	9	9	sub4
S_389249N1219140W003	0.0048	0	0	0	0	0.0001	0	0	0.9951	0	9	9	sub4
S_389255N1213566W001	0.9322	0.0005	0.0515	0.0002	0.0102	0.0038	0	0	0.0015	0.0001	1	1	sub7
S_389255N1213566W002	0.9437	0.0032	0.003	0	0.0098	0.0035	0	0	0.0368	0	1	1	sub7
S_389255N1213566W003	0.5348	0.0159	0.0097	0.0001	0.4302	0.0018	0	0	0.0075	0	1	1	sub7
S_389255N1214969W001	0	0.9939	0.0034	0	0	0	0	0	0.0026	0	2	2	sub7
S_389256N1215062W001	0.0002	0.8843	0.0228	0.0001	0.0002	0	0	0.0014	0.0909	0.0001	2	2	sub7
S_389281N1218056W001	0.001	0	0	0	0	0.0003	0	0	0.9987	0	9	9	sub4
S_389304N1218843W001	0.0085	0	0	0	0	0.0001	0	0	0.9914	0	9	9	sub4
S_389304N1218843W002	0	0	1	0	0	0	0	0	0	0	3	3	sub4
S_389304N1218843W003	0.0602	0	0.0001	0	0	0.0004	0	0	0.9394	0	9	9	sub4
S_389322N1215277W001	0.0209	0.8031	0.1338	0.028	0.0001	0.0061	0	0.0007	0.0074	0.0001	2	2	sub7
S_389327N1214594W001	0.0007	0.9872	0.0064	0.0018	0.0033	0	0.0001	0.0001	0.0003	0	2	2	sub7
S_389328N1215489W001	0.0536	0.0013	0.1102	0.0008	0.2799	0.0117	0	0.0009	0.5416	0	9	9	sub7
S_389398N1216162W001	0.0041	0.8186	0.1256	0.0071	0	0.0293	0	0.0076	0.0077	0.0001	2	2	sub5
S_389410N1215884W001	0.0687	0.7101	0.0784	0.0211	0	0.1091	0	0.0011	0.005	0.0063	2	2	sub5
S_389452N1215992W001	0.0157	0.0368	0.4923	0.1588	0	0.1682	0	0.0365	0.0682	0.0235	3	3	sub5
S_389452N1215992W002	0.0129	0.0529	0.6557	0.1041	0	0.118	0	0.0115	0.0357	0.0091	3	3	sub5
S_389452N1215992W003	0	0.8046	0.1953	0	0	0	0	0	0	0	2	2	sub5
S_389452N1215992W004	0	0.9848	0.0152	0	0	0	0	0	0	0	2	2	sub5
S_389453N1216159W001	0.1059	0.0006	0.0562	0.0361	0.0027	0.0289	0.0051	0.7288	0.0318	0.0038	8	8	sub5
S_389454N1215870W001	0.043	0	0.0001	0.0008	0	0.9496	0	0	0.0065	0	6	6	sub5
S_389509N1215863W001	0	0.9999	0	0	0	0	0	0	0	0	2	2	sub5
S_389525N1216161W001	0.0115	0.0166	0.0567	0.0945	0.0061	0.0492	0.097	0.6317	0.0282	0.0086	8	8	sub5
S_389528N1217918W001	0.0001	0	0	0	0	0.0004	0	0.0109	0.9886	0	9	9	sub4
S_389528N1217918W002	0	0	0	0	0	0.0005	0	0.0182	0.9813	0	9	9	sub4
S_389528N1217918W003	0.0001	0	0	0	0	0.0004	0	0.0061	0.9934	0	9	9	sub4
S_389539N1215186W001	0	0	0	0	0	0	0	0	1	0	9	9	sub7
S_389563N1215843W001	0.039	0.0072	0.2331	0.0107	0.0106	0.0005	0	0.693	0.0041	0.0018	8	8	sub5
S_389571N1215858W001	0.0183	0.0003	0.0078	0.0012	0.0009	0.0005	0	0.939	0.0309	0.0011	8	8	sub5
S_389605N1218102W001	0.0001	0	0.0034	0	0	0	0	0.8475	0.149	0	8	8	sub4
S_389605N1218102W002	0.0028	0.0002	0.0063	0.0996	0	0.0439	0.0001	0.7735	0.0639	0.0097	8	8	sub4
S_389605N1218102W003	0.0245	0.0007	0.0058	0.1454	0	0.5041	0.0016	0.0758	0.0764	0.1657	6	6	sub4
S_389606N1218011W001	0.0054	0	0	0	0	0.008	0.0001	0.0003	0.9861	0	9	9	sub4
S_389628N1215557W001	0.6287	0.0057	0.2682	0.0819	0.0001	0.015	0	0	0	0.0003	1	1	sub5
S_389665N1215747W001	0.1323	0.0005	0.7159	0.1421	0.0011	0.0032	0.0004	0.0004	0.0038	0.0002	3	3	sub5
S_389669N1218440W001	0.0136	0.001	0.0329	0.0001	0.0001	0.0021	0	0.0035	0.9466	0.0002	9	9	sub4
S_389669N1218440W002	0.0255	0.0002	0.006	0	0.0005	0.0009	0	0	0.9668	0	9	9	sub4
S_389677N1215974W001	0.0001	0.994	0.0008	0.0013	0.0005	0.0004	0.0013	0.0004	0.0001	0.001	2	2	sub5
S_389680N1215532W001	0.6356	0.0002	0.033	0.0655	0	0.2651	0	0	0.0004	0.0001	1	1	sub5
S_389683N1215213W001	0.0004	0.0197	0.9762	0.0037	0	0	0	0	0	0	3	3	sub7
S_389689N1218653W002	0.709	0	0.2847	0.0001	0	0.002	0	0	0.0042	0	1	1	sub4
S_389692N1215408W001	0.0039	0.0023	0.6655	0.3282	0	0.0001	0	0	0	0	3	3	sub7
S_389694N1219259W001	0.0001	0	0.9998	0	0.0001	0	0	0	0	0	3	3	sub4
S_389694N1219259W002	0.0016	0	0	0	0	0	0	0	0.9984	0	9	9	sub4
S_389694N1219259W003	0.091	0	0	0	0	0.0002	0	0	0.9088	0	9	9	sub4
S_389708N1215574W001	0.5942	0.0359	0.1189	0.173	0.0003	0.0767	0.0003	0	0.0003	0.0003	1	1	sub5
S_389786N1216259W001	0.0079	0.0108	0.9353	0.0115	0.0321	0.0004	0.0001	0.0012	0.0007	0	3	3	sub5
S_389803N1217675W001	0.0001	0	0	0	0	0	0.9996	0	0.0002	0	7	7	sub4
S_389807N1214267W001	0.0006	0.4813	0.5178	0.0004	0	0	0	0	0	0	3	3	sub7
S_389807N1214576W001	0.0001	0.0001	0.0004	0	0	0.0008	0	0	0.9985	0	9	9	sub7
S_389813N1216356W001	0.0578	0.0006	0.9248	0.0088	0.002	0.0005	0	0.0002	0.0055	0	3	3	sub5
S_389834N1214655W001	0.0081	0.8526	0.0273	0.0004	0.0003	0.0028	0	0.0008	0.1074	0.0003	2	2	sub7
S_389857N1214880W001	0	0.9787	0.0143	0.0001	0	0.0065	0	0	0.0003	0	2	2	sub5
S_389857N1214880W002	0.0001	0.0003	0.0001	0	0	0.0459	0	0.0001	0.9536	0	9	9	sub5
S_389857N1214880W003	0	0	0	0	0	0.0026	0	0	0.9973	0	9	9	sub5
S_389857N1214880W004	0.0013	0.0026	0.0173	0.9779	0	0.0007	0	0	0	0	4	4	sub5
S_389860N1215738W001	0.9198	0.0001	0.0629	0.0018	0.0001	0.0083	0	0.0002	0.0064	0.0002	1	1	sub5
S_389868N1215739W001	0.0003	0.0195	0.0021	0.0236	0	0.0577	0	0.8478	0.0486	0.0003	8	8	sub5
S_389885N1218051W001	0.0055	0	0.0221	0.9623	0	0.0026	0	0.0032	0.0042	0	4	4	sub4
S_389918N1215772W001	0.0004	0.7406	0.051	0.1956	0.0004	0.0009	0.0055	0.0048	0.0003	0.0006	2	2	sub5
S_389928N1215479W001	0.0004	0.9666	0.0129	0	0	0.0181	0	0	0.0019	0	2	2	sub5
S_389928N1215479W002	0.0001	0	0.0001	0	0	0.9473	0	0	0.0525	0	6	6	sub5
S_389928N1215479W003	0.0004	0.0001	0.0003	0	0	0.5857	0	0	0.4135	0	6	6	sub5
S_389932N1215735W001	0.0291	0.0022	0.9322	0.0155	0.0148	0.0005	0.0009	0.002	0.0012	0.0015	3	3	sub5
S_389937N1218240W001	0.039	0.0235	0.0308	0.8015	0.0019	0.0052	0.0019	0.0269	0.031	0.0382	4	4	sub4
S_390087N1216722W001	0	0.9058	0.0901	0.004	0	0	0	0.0001	0	0	2	2	sub5
S_390087N1216722W002	0.0002	0.0249	0.9716	0.0028	0	0	0	0.0002	0.0002	0	3	3	sub5
