name	clus_1	clus_2	clus_3	memb	cluster	subregion
S_399252N1220436W001	0.0034187683	0.9959607762	0.0006204555	2	2	sub1sub2
S_399252N1220436W002	0.9694617882	0.0050156362	0.0255225756	1	1	sub1sub2
S_399346N1222349W001	0.0000007009	0.9999992334	0.0000000657	2	2	sub1sub2
S_399456N1220399W001	0.0026712517	0.9973272725	0.0000014758	2	2	sub1sub2
S_399456N1220399W002	0.0343604239	0.9655518763	0.0000876998	2	2	sub1sub2
S_399567N1220031W001	0.0094748507	0.9905214226	0.0000037267	2	2	sub1sub2
S_399567N1220031W002	0.0000220291	0.9999778960	0.0000000749	2	2	sub1sub2
S_399568N1220016W001	0.0083015729	0.1116579519	0.8800404752	3	3	sub1sub2
S_399633N1219955W001	0.0000033774	0.9999966207	0.0000000020	2	2	sub1sub2
S_399633N1219955W002	0.0179170789	0.9740073579	0.0080755632	2	2	sub1sub2
S_399666N1221647W001	0.0061469101	0.9938329020	0.0000201879	2	2	sub1sub2
S_399733N1220069W001	0.0000010668	0.9999989240	0.0000000092	2	2	sub1sub2
S_399733N1220069W002	0.0000008289	0.9999991690	0.0000000021	2	2	sub1sub2
S_399733N1220069W003	0.0000097036	0.9999902685	0.0000000279	2	2	sub1sub2
S_399740N1219748W001	0.0000004519	0.9999994767	0.0000000713	2	2	sub1sub2
S_399740N1219748W002	0.0000007581	0.9999991408	0.0000001011	2	2	sub1sub2
S_400329N1221904W001	0.9999998332	0.0000001125	0.0000000543	1	1	sub1sub2
S_400329N1221904W003	0.9999999063	0.0000000597	0.0000000340	1	1	sub1sub2
S_400329N1221904W004	0.9999142107	0.0000402368	0.0000455525	1	1	sub1sub2
S_400329N1221904W005	0.9909855913	0.0090102118	0.0000041969	1	1	sub1sub2
S_400379N1221700W001	0.9999999974	0.0000000025	0.0000000002	1	1	sub1sub2
S_400428N1221665W001	0.9999999156	0.0000000573	0.0000000271	1	1	sub1sub2
S_400428N1221665W002	0.9999904313	0.0000007275	0.0000088412	1	1	sub1sub2
S_400428N1221665W003	0.9622022286	0.0371961883	0.0006015831	1	1	sub1sub2
S_400725N1221124W002	0.9999952831	0.0000000200	0.0000046970	1	1	sub1sub2
S_401076N1220630W001	0.0000117310	0.9993206655	0.0006676035	2	2	sub1sub2
S_401140N1222322W001	0.0379716782	0.9620246561	0.0000036657	2	2	sub1sub2
S_401520N1222924W001	0.9999989738	0.0000000054	0.0000010208	1	1	sub1sub2
S_401829N1221752W001	0.9772905265	0.0000066813	0.0227027922	1	1	sub1sub2
S_403305N1222805W001	0.0068119060	0.0169005816	0.9762875124	3	3	sub1sub2
S_403585N1223338W002	0.8712189456	0.0000157895	0.1287652649	1	1	sub1sub2
S_403585N1223338W003	0.9986469570	0.0000683056	0.0012847374	1	1	sub1sub2
S_403664N1223984W001	0.0001632047	0.0000198264	0.9998169689	3	3	sub1sub2
S_403908N1222878W001	0.1299149206	0.0003433001	0.8697417794	3	3	sub1sub2
S_403929N1222944W001	0.0002735038	0.0000002124	0.9997262837	3	3	sub1sub2
S_403929N1222945W001	0.0001793587	0.0000001413	0.9998205000	3	3	sub1sub2
S_403929N1222945W002	0.0000765489	0.0000009246	0.9999225264	3	3	sub1sub2
S_403929N1222945W003	0.0019150839	0.0000007732	0.9980841430	3	3	sub1sub2
S_403929N1222945W004	0.2413970646	0.2016318645	0.5569710709	3	3	sub1sub2
S_404310N1222731W001	0.0049851088	0.0000082540	0.9950066373	3	3	sub1sub2
S_404377N1222883W001	0.0000011489	0.0000000890	0.9999987620	3	3	sub1sub2
S_404377N1222883W002	0.0014567050	0.0000244663	0.9985188287	3	3	sub1sub2
S_404411N1223015W001	0.0000098327	0.0000000040	0.9999901633	3	3	sub1sub2
S_404412N1223015W001	0.0000019868	0.0000000056	0.9999980077	3	3	sub1sub2
S_404412N1223018W001	0.0000143845	0.0000000059	0.9999856096	3	3	sub1sub2
S_404780N1223966W001	0.0664295643	0.9012669910	0.0323034447	2	2	sub1sub2
S_405069N1223056W001	0.9982939001	0.0000712129	0.0016348870	1	1	sub1sub2
S_405892N1223206W001	0.0007640244	0.9992300000	0.0000059756	2	2	sub1sub2
